r1bq1b1r/pppp1kpp/2n2p1n/4p3/4P2P/2P3PR/PP1P1P2/RNB1KBN1 b Q - 0 8, 0
r1bq1b1r/pppp1kpp/5p1n/4p3/1n2P2P/2P3PR/PP1P1P2/RNB1KBN1 w Q - 1 9, 0
r1bq1b1r/pppp1kpp/5p1n/4p3/1n2P2P/2P3P1/PP1P1P2/RNB1KBNR b Q - 2 9, 0
r1bq1b1r/1ppp1kpp/p4p1n/4p3/1n2P2P/2P3P1/PP1P1P2/RNB1KBNR w Q - 0 10, 0
r1bq1b1r/1ppp1kpp/p4p1n/4p3/1n2P2P/N1P3P1/PP1P1P2/R1B1KBNR b Q - 1 10, 0
2bq1b1r/rppp1kpp/p4p1n/4p3/1n2P2P/N1P3P1/PP1P1P2/R1B1KBNR w Q - 2 11, 0
2bq1b1r/rppp1kpp/p4p1n/4p3/1n2P2P/N1P3P1/PP1P1PB1/R1B1K1NR b Q - 3 11, 0
2bq1bnr/rppp1kpp/p4p2/4p3/1n2P2P/N1P3P1/PP1P1PB1/R1B1K1NR w Q - 4 12, 0
2bq1bnr/rppp1kpp/p4p2/4p3/1n2PP1P/N1P3P1/PP1P2B1/R1B1K1NR b Q - 0 12, 0
2bq1bnr/rppp1kp1/p4p2/4p2p/1n2PP1P/N1P3P1/PP1P2B1/R1B1K1NR w Q - 0 13, 0
2bq1bnr/rppp1kp1/p4p2/4p2p/1n1PPP1P/N1P3P1/PP4B1/R1B1K1NR b Q - 0 13, 0
2bq1bnr/rpp2kp1/p2p1p2/4p2p/1n1PPP1P/N1P3P1/PP4B1/R1B1K1NR w Q - 0 14, 0
2bq1bnr/rpp2kp1/p2p1p2/4p2p/1n1PPP1P/N1P3P1/PP6/R1B1KBNR b Q - 1 14, 0
3q1bnr/rpp2kp1/p2p1p2/4pb1p/1n1PPP1P/N1P3P1/PP6/R1B1KBNR w Q - 2 15, 0
3q1bnr/rpp2kp1/B2p1p2/4pb1p/1n1PPP1P/N1P3P1/PP6/R1B1K1NR b Q - 0 15, 0
3q1bnr/r1p2kp1/B2p1p2/1p2pb1p/1n1PPP1P/N1P3P1/PP6/R1B1K1NR w Q - 0 16, 0
3q1bnr/r1p2kp1/B2p1p2/1p2pb1p/1n1PPP1P/N1P3P1/PP1B4/R3K1NR b Q - 1 16, 0
3q1bnr/r1p2k2/B2p1pp1/1p2pb1p/1n1PPP1P/N1P3P1/PP1B4/R3K1NR w Q - 0 17, 0
3q1bnr/r1p2k2/B2p1pp1/1p2pb1p/1P1PPP1P/N5P1/PP1B4/R3K1NR b Q - 0 17, 0
r2q1bnr/2p2k2/B2p1pp1/1p2pb1p/1P1PPP1P/N5P1/PP1B4/R3K1NR w Q - 1 18, 0
r1Bq1bnr/2p2k2/3p1pp1/1p2pb1p/1P1PPP1P/N5P1/PP1B4/R3K1NR b Q - 2 18, 0
2Bq1bnr/2p2k2/3p1pp1/rp2pb1p/1P1PPP1P/N5P1/PP1B4/R3K1NR w Q - 3 19, 0
2Bq1bnr/2p2k2/3p1pp1/rp2pb1p/1PNPPP1P/6P1/PP1B4/R3K1NR b Q - 4 19, 0
